# Vin Vd Vin Id

-1.140000e+00 -1.363062e-01 -1.140000e+00 -1.003694e-02 
-1.130000e+00 -1.272241e-01 -1.130000e+00 -1.002776e-02 
-1.120000e+00 -1.181453e-01 -1.120000e+00 -1.001855e-02 
-1.110000e+00 -1.090704e-01 -1.110000e+00 -1.000930e-02 
-1.100000e+00 -1.000000e-01 -1.100000e+00 -1.000000e-02 
-1.090000e+00 -9.093502e-02 -1.090000e+00 -9.990650e-03 
-1.080000e+00 -8.187648e-02 -1.080000e+00 -9.981235e-03 
-1.070000e+00 -7.282555e-02 -1.070000e+00 -9.971744e-03 
-1.060000e+00 -6.378366e-02 -1.060000e+00 -9.962163e-03 
-1.050000e+00 -5.475248e-02 -1.050000e+00 -9.952475e-03 
-1.040000e+00 -4.573396e-02 -1.040000e+00 -9.942660e-03 
-1.030000e+00 -3.673042e-02 -1.030000e+00 -9.932696e-03 
-1.020000e+00 -2.774455e-02 -1.020000e+00 -9.922554e-03 
-1.010000e+00 -1.877953e-02 -1.010000e+00 -9.912205e-03 
-1.000000e+00 -9.839032e-03 -1.000000e+00 -9.901610e-03 
-9.900000e-01 -9.273372e-04 -9.900000e-01 -9.890727e-03 
-9.800000e-01 7.950610e-03 -9.800000e-01 -9.879506e-03 
-9.700000e-01 1.678913e-02 -9.700000e-01 -9.867891e-03 
-9.600000e-01 2.558172e-02 -9.600000e-01 -9.855817e-03 
-9.500000e-01 3.432104e-02 -9.500000e-01 -9.843210e-03 
-9.400000e-01 4.299880e-02 -9.400000e-01 -9.829988e-03 
-9.300000e-01 5.160578e-02 -9.300000e-01 -9.816058e-03 
-9.200000e-01 6.013183e-02 -9.200000e-01 -9.801318e-03 
-9.100000e-01 6.856593e-02 -9.100000e-01 -9.785659e-03 
-9.000000e-01 7.689626e-02 -9.000000e-01 -9.768963e-03 
-8.900000e-01 8.511040e-02 -8.900000e-01 -9.751104e-03 
-8.800000e-01 9.319549e-02 -8.800000e-01 -9.731955e-03 
-8.700000e-01 1.011386e-01 -8.700000e-01 -9.711386e-03 
-8.600000e-01 1.089269e-01 -8.600000e-01 -9.689269e-03 
-8.500000e-01 1.165483e-01 -8.500000e-01 -9.665483e-03 
-8.400000e-01 1.239914e-01 -8.400000e-01 -9.639914e-03 
-8.300000e-01 1.312463e-01 -8.300000e-01 -9.612463e-03 
-8.200000e-01 1.383045e-01 -8.200000e-01 -9.583045e-03 
-8.100000e-01 1.451595e-01 -8.100000e-01 -9.551595e-03 
-8.000000e-01 1.518065e-01 -8.000000e-01 -9.518065e-03 
-7.900000e-01 1.582431e-01 -7.900000e-01 -9.482431e-03 
-7.800000e-01 1.644685e-01 -7.800000e-01 -9.444685e-03 
-7.700000e-01 1.704841e-01 -7.700000e-01 -9.404841e-03 
-7.600000e-01 1.762926e-01 -7.600000e-01 -9.362926e-03 
-7.500000e-01 1.818985e-01 -7.500000e-01 -9.318985e-03 
-7.400000e-01 1.873073e-01 -7.400000e-01 -9.273073e-03 
-7.300000e-01 1.925255e-01 -7.300000e-01 -9.225255e-03 
-7.200000e-01 1.975604e-01 -7.200000e-01 -9.175604e-03 
-7.100000e-01 2.024196e-01 -7.100000e-01 -9.124196e-03 
-7.000000e-01 2.071110e-01 -7.000000e-01 -9.071110e-03 
-6.900000e-01 2.116427e-01 -6.900000e-01 -9.016427e-03 
-6.800000e-01 2.160228e-01 -6.800000e-01 -8.960228e-03 
-6.700000e-01 2.202593e-01 -6.700000e-01 -8.902593e-03 
-6.600000e-01 2.243598e-01 -6.600000e-01 -8.843598e-03 
-6.500000e-01 2.283318e-01 -6.500000e-01 -8.783318e-03 
-6.400000e-01 2.321824e-01 -6.400000e-01 -8.721824e-03 
-6.300000e-01 2.359184e-01 -6.300000e-01 -8.659184e-03 
-6.200000e-01 2.395463e-01 -6.200000e-01 -8.595463e-03 
-6.100000e-01 2.430722e-01 -6.100000e-01 -8.530722e-03 
-6.000000e-01 2.465018e-01 -6.000000e-01 -8.465018e-03 
-5.900000e-01 2.498405e-01 -5.900000e-01 -8.398405e-03 
-5.800000e-01 2.530935e-01 -5.800000e-01 -8.330935e-03 
-5.700000e-01 2.562653e-01 -5.700000e-01 -8.262653e-03 
-5.600000e-01 2.593605e-01 -5.600000e-01 -8.193605e-03 
-5.500000e-01 2.623832e-01 -5.500000e-01 -8.123832e-03 
-5.400000e-01 2.653373e-01 -5.400000e-01 -8.053373e-03 
-5.300000e-01 2.682265e-01 -5.300000e-01 -7.982265e-03 
-5.200000e-01 2.710541e-01 -5.200000e-01 -7.910541e-03 
-5.100000e-01 2.738233e-01 -5.100000e-01 -7.838233e-03 
-5.000000e-01 2.765371e-01 -5.000000e-01 -7.765371e-03 
-4.900000e-01 2.791983e-01 -4.900000e-01 -7.691983e-03 
-4.800000e-01 2.818094e-01 -4.800000e-01 -7.618094e-03 
-4.700000e-01 2.843729e-01 -4.700000e-01 -7.543729e-03 
-4.600000e-01 2.868910e-01 -4.600000e-01 -7.468910e-03 
-4.500000e-01 2.893660e-01 -4.500000e-01 -7.393660e-03 
-4.400000e-01 2.917997e-01 -4.400000e-01 -7.317997e-03 
-4.300000e-01 2.941942e-01 -4.300000e-01 -7.241942e-03 
-4.200000e-01 2.965511e-01 -4.200000e-01 -7.165511e-03 
-4.100000e-01 2.988721e-01 -4.100000e-01 -7.088721e-03 
-4.000000e-01 3.011587e-01 -4.000000e-01 -7.011587e-03 
-3.900000e-01 3.034126e-01 -3.900000e-01 -6.934126e-03 
-3.800000e-01 3.056349e-01 -3.800000e-01 -6.856349e-03 
-3.700000e-01 3.078271e-01 -3.700000e-01 -6.778271e-03 
-3.600000e-01 3.099904e-01 -3.600000e-01 -6.699904e-03 
-3.500000e-01 3.121259e-01 -3.500000e-01 -6.621259e-03 
-3.400000e-01 3.142348e-01 -3.400000e-01 -6.542348e-03 
-3.300000e-01 3.163180e-01 -3.300000e-01 -6.463180e-03 
-3.200000e-01 3.183766e-01 -3.200000e-01 -6.383766e-03 
-3.100000e-01 3.204115e-01 -3.100000e-01 -6.304115e-03 
-3.000000e-01 3.224236e-01 -3.000000e-01 -6.224236e-03 
-2.900000e-01 3.244137e-01 -2.900000e-01 -6.144137e-03 
-2.800000e-01 3.263826e-01 -2.800000e-01 -6.063826e-03 
-2.700000e-01 3.283311e-01 -2.700000e-01 -5.983311e-03 
-2.600000e-01 3.302599e-01 -2.600000e-01 -5.902599e-03 
-2.500000e-01 3.321697e-01 -2.500000e-01 -5.821697e-03 
-2.400000e-01 3.340611e-01 -2.400000e-01 -5.740611e-03 
-2.300000e-01 3.359347e-01 -2.300000e-01 -5.659347e-03 
-2.200000e-01 3.377912e-01 -2.200000e-01 -5.577912e-03 
-2.100000e-01 3.396310e-01 -2.100000e-01 -5.496310e-03 
-2.000000e-01 3.414548e-01 -2.000000e-01 -5.414548e-03 
-1.900000e-01 3.432630e-01 -1.900000e-01 -5.332630e-03 
-1.800000e-01 3.450562e-01 -1.800000e-01 -5.250562e-03 
-1.700000e-01 3.468348e-01 -1.700000e-01 -5.168348e-03 
-1.600000e-01 3.485992e-01 -1.600000e-01 -5.085992e-03 
-1.500000e-01 3.503499e-01 -1.500000e-01 -5.003499e-03 
-1.400000e-01 3.520872e-01 -1.400000e-01 -4.920872e-03 
-1.300000e-01 3.538117e-01 -1.300000e-01 -4.838117e-03 
-1.200000e-01 3.555236e-01 -1.200000e-01 -4.755236e-03 
-1.100000e-01 3.572233e-01 -1.100000e-01 -4.672233e-03 
-1.000000e-01 3.589112e-01 -1.000000e-01 -4.589112e-03 
-9.000000e-02 3.605875e-01 -9.000000e-02 -4.505875e-03 
-8.000000e-02 3.622527e-01 -8.000000e-02 -4.422527e-03 
-7.000000e-02 3.639070e-01 -7.000000e-02 -4.339070e-03 
-6.000000e-02 3.655507e-01 -6.000000e-02 -4.255507e-03 
-5.000000e-02 3.671841e-01 -5.000000e-02 -4.171841e-03 
-4.000000e-02 3.688074e-01 -4.000000e-02 -4.088074e-03 
-3.000000e-02 3.704210e-01 -3.000000e-02 -4.004210e-03 
-2.000000e-02 3.720250e-01 -2.000000e-02 -3.920250e-03 
-1.000000e-02 3.736198e-01 -1.000000e-02 -3.836198e-03 
1.641048e-15 3.752055e-01 1.641048e-15 -3.752055e-03 
1.000000e-02 3.767824e-01 1.000000e-02 -3.667824e-03 
2.000000e-02 3.783507e-01 2.000000e-02 -3.583507e-03 
3.000000e-02 3.799106e-01 3.000000e-02 -3.499106e-03 
4.000000e-02 3.814622e-01 4.000000e-02 -3.414622e-03 
5.000000e-02 3.830059e-01 5.000000e-02 -3.330059e-03 
6.000000e-02 3.845418e-01 6.000000e-02 -3.245418e-03 
7.000000e-02 3.860701e-01 7.000000e-02 -3.160701e-03 
8.000000e-02 3.875909e-01 8.000000e-02 -3.075909e-03 
9.000000e-02 3.891044e-01 9.000000e-02 -2.991044e-03 
1.000000e-01 3.906108e-01 1.000000e-01 -2.906108e-03 
1.100000e-01 3.921103e-01 1.100000e-01 -2.821103e-03 
1.200000e-01 3.936030e-01 1.200000e-01 -2.736030e-03 
1.300000e-01 3.950890e-01 1.300000e-01 -2.650890e-03 
1.400000e-01 3.965684e-01 1.400000e-01 -2.565684e-03 
1.500000e-01 3.980416e-01 1.500000e-01 -2.480416e-03 
1.600000e-01 3.995084e-01 1.600000e-01 -2.395084e-03 
1.700000e-01 4.009692e-01 1.700000e-01 -2.309692e-03 
1.800000e-01 4.024240e-01 1.800000e-01 -2.224240e-03 
1.900000e-01 4.038730e-01 1.900000e-01 -2.138730e-03 
2.000000e-01 4.053162e-01 2.000000e-01 -2.053162e-03 
2.100000e-01 4.067538e-01 2.100000e-01 -1.967538e-03 
2.200000e-01 4.081859e-01 2.200000e-01 -1.881859e-03 
2.300000e-01 4.096126e-01 2.300000e-01 -1.796126e-03 
2.400000e-01 4.110340e-01 2.400000e-01 -1.710340e-03 
2.500000e-01 4.124503e-01 2.500000e-01 -1.624503e-03 
2.600000e-01 4.138614e-01 2.600000e-01 -1.538614e-03 
2.700000e-01 4.152676e-01 2.700000e-01 -1.452676e-03 
2.800000e-01 4.166689e-01 2.800000e-01 -1.366689e-03 
2.900000e-01 4.180654e-01 2.900000e-01 -1.280654e-03 
3.000000e-01 4.194571e-01 3.000000e-01 -1.194571e-03 
3.100000e-01 4.208443e-01 3.100000e-01 -1.108443e-03 
3.200000e-01 4.222269e-01 3.200000e-01 -1.022269e-03 
3.300000e-01 4.236051e-01 3.300000e-01 -9.360507e-04 
3.400000e-01 4.249789e-01 3.400000e-01 -8.497886e-04 
3.500000e-01 4.263484e-01 3.500000e-01 -7.634836e-04 
3.600000e-01 4.277136e-01 3.600000e-01 -6.771363e-04 
3.700000e-01 4.290748e-01 3.700000e-01 -5.907477e-04 
3.800000e-01 4.304318e-01 3.800000e-01 -5.043183e-04 
3.900000e-01 4.317849e-01 3.900000e-01 -4.178489e-04 
4.000000e-01 4.331340e-01 4.000000e-01 -3.313402e-04 
4.100000e-01 4.344793e-01 4.100000e-01 -2.447928e-04 
4.200000e-01 4.358207e-01 4.200000e-01 -1.582075e-04 
4.300000e-01 4.371585e-01 4.300000e-01 -7.158476e-05 
4.400000e-01 4.384925e-01 4.400000e-01 1.507469e-05 
4.500000e-01 4.398230e-01 4.500000e-01 1.017703e-04 
4.600000e-01 4.411499e-01 4.600000e-01 1.885014e-04 
4.700000e-01 4.424733e-01 4.700000e-01 2.752674e-04 
4.800000e-01 4.437932e-01 4.800000e-01 3.620679e-04 
4.900000e-01 4.451098e-01 4.900000e-01 4.489022e-04 
5.000000e-01 4.464230e-01 5.000000e-01 5.357698e-04 
5.100000e-01 4.477330e-01 5.100000e-01 6.226701e-04 
5.200000e-01 4.490397e-01 5.200000e-01 7.096028e-04 
5.300000e-01 4.503433e-01 5.300000e-01 7.965672e-04 
5.400000e-01 4.516437e-01 5.400000e-01 8.835628e-04 
5.500000e-01 4.529411e-01 5.500000e-01 9.705893e-04 
5.600000e-01 4.542354e-01 5.600000e-01 1.057646e-03 
5.700000e-01 4.555267e-01 5.700000e-01 1.144733e-03 
5.800000e-01 4.568151e-01 5.800000e-01 1.231849e-03 
5.900000e-01 4.581006e-01 5.900000e-01 1.318994e-03 
6.000000e-01 4.593833e-01 6.000000e-01 1.406167e-03 
6.100000e-01 4.606631e-01 6.100000e-01 1.493369e-03 
6.200000e-01 4.619402e-01 6.200000e-01 1.580598e-03 
6.300000e-01 4.632145e-01 6.300000e-01 1.667855e-03 
6.400000e-01 4.644861e-01 6.400000e-01 1.755139e-03 
6.500000e-01 4.657551e-01 6.500000e-01 1.842449e-03 
6.600000e-01 4.670215e-01 6.600000e-01 1.929785e-03 
6.700000e-01 4.682853e-01 6.700000e-01 2.017147e-03 
6.800000e-01 4.695465e-01 6.800000e-01 2.104535e-03 
6.900000e-01 4.708052e-01 6.900000e-01 2.191948e-03 
7.000000e-01 4.720615e-01 7.000000e-01 2.279385e-03 
7.100000e-01 4.733153e-01 7.100000e-01 2.366847e-03 
7.200000e-01 4.745667e-01 7.200000e-01 2.454333e-03 
7.300000e-01 4.758158e-01 7.300000e-01 2.541842e-03 
7.400000e-01 4.770625e-01 7.400000e-01 2.629375e-03 
7.500000e-01 4.783069e-01 7.500000e-01 2.716931e-03 
7.600000e-01 4.795490e-01 7.600000e-01 2.804510e-03 
7.700000e-01 4.807889e-01 7.700000e-01 2.892111e-03 
7.800000e-01 4.820265e-01 7.800000e-01 2.979735e-03 
7.900000e-01 4.832620e-01 7.900000e-01 3.067380e-03 
8.000000e-01 4.844953e-01 8.000000e-01 3.155047e-03 
8.100000e-01 4.857264e-01 8.100000e-01 3.242736e-03 
8.200000e-01 4.869555e-01 8.200000e-01 3.330445e-03 
8.300000e-01 4.881824e-01 8.300000e-01 3.418176e-03 
8.400000e-01 4.894074e-01 8.400000e-01 3.505926e-03 
8.500000e-01 4.906303e-01 8.500000e-01 3.593697e-03 
8.600000e-01 4.918511e-01 8.600000e-01 3.681489e-03 
8.700000e-01 4.930701e-01 8.700000e-01 3.769299e-03 
8.800000e-01 4.942870e-01 8.800000e-01 3.857130e-03 
8.900000e-01 4.955020e-01 8.900000e-01 3.944980e-03 
9.000000e-01 4.967152e-01 9.000000e-01 4.032848e-03 
9.100000e-01 4.979264e-01 9.100000e-01 4.120736e-03 
9.200000e-01 4.991358e-01 9.200000e-01 4.208642e-03 
9.300000e-01 5.003433e-01 9.300000e-01 4.296567e-03 
9.400000e-01 5.015491e-01 9.400000e-01 4.384509e-03 
9.500000e-01 5.027530e-01 9.500000e-01 4.472470e-03 
9.600000e-01 5.039552e-01 9.600000e-01 4.560448e-03 
9.700000e-01 5.051556e-01 9.700000e-01 4.648444e-03 
9.800000e-01 5.063543e-01 9.800000e-01 4.736457e-03 
9.900000e-01 5.075512e-01 9.900000e-01 4.824488e-03 
1.000000e+00 5.087465e-01 1.000000e+00 4.912535e-03 
1.010000e+00 5.099401e-01 1.010000e+00 5.000599e-03 
1.020000e+00 5.111320e-01 1.020000e+00 5.088680e-03 
1.030000e+00 5.123224e-01 1.030000e+00 5.176776e-03 
1.040000e+00 5.135111e-01 1.040000e+00 5.264889e-03 
1.050000e+00 5.146982e-01 1.050000e+00 5.353018e-03 
1.060000e+00 5.158837e-01 1.060000e+00 5.441163e-03 
1.070000e+00 5.170676e-01 1.070000e+00 5.529324e-03 
1.080000e+00 5.182501e-01 1.080000e+00 5.617499e-03 
1.090000e+00 5.194309e-01 1.090000e+00 5.705691e-03 
1.100000e+00 5.206103e-01 1.100000e+00 5.793897e-03 
1.110000e+00 5.217882e-01 1.110000e+00 5.882118e-03 
1.120000e+00 5.229646e-01 1.120000e+00 5.970354e-03 
1.130000e+00 5.241395e-01 1.130000e+00 6.058605e-03 
1.140000e+00 5.253130e-01 1.140000e+00 6.146870e-03 
