# 5mA 2mA 1mA Temp
0.3054942 0.3728355 0.3911071 35
0.2785329 0.3470193 0.3655461 45
0.2515622 0.3211626 0.3399344 55
0.224713 0.2952674 0.3142944 65
0.1979445 0.2694163 0.2886636 75

