# V_Dark I_Dark V_I1 I_I1 V_I2 I_I2

-1.952	-0.450	-1.082	-9.070	-0.547	-11.820
-1.754	-0.410	-0.697	-8.990	-0.327	-11.780
-1.592	-0.370	-0.482	-8.940	-0.217	-11.770
-1.402	-0.320	-0.267	-8.900	-0.081	-11.750
-1.147	-0.260	-0.043	-8.850	-0.007	-11.740
-0.920	-0.210	0.009	-8.840	0.019	-11.850
-0.794	-0.180	0.121	-8.800	0.059	-11.840
-0.557	-0.130	0.191	-8.730	0.117	-11.810
-0.364	-0.080	0.240	-8.610	0.289	-11.360
-0.165	-0.040	0.279	-8.450	0.338	-10.830
-0.099	-0.020	0.334	-7.970	0.375	-10.030
0.075	0.020	0.359	-7.480	0.387	-9.630
0.230	0.200	0.387	-6.720	0.404	-8.900
0.400	2.280	0.403	-6.100	0.421	-8.000
0.445	4.590	0.411	-5.670	0.433	-7.150
0.461	5.890	0.423	-5.050	0.442	-6.280
0.483	8.250	0.432	-4.450	0.449	-5.600
0.496	10.210	0.451	-3.080	0.455	-4.900
0.508	12.220	0.456	-2.420	0.464	-3.600
0.516	14.200	0.461	-1.900	0.467	-3.400
0.529	17.300	0.467	-1.180	0.473	-2.590
0.537	19.700	0.471	-0.650	0.481	-1.240
0.545	20.500	0.474	-0.180	0.486	-0.280
0.552	22.400	0.475	-0.030	0.487	-0.110
0.552	22.400	0.476	0.160	0.488	0.060
0.552	22.400	0.480	0.690	0.489	0.170
0.552	22.400	0.483	1.220	0.492	0.740
0.552	22.400	0.488	2.040	0.496	1.650
0.552	22.400	0.496	3.350	0.504	3.260
0.552	22.400	0.511	6.410	0.517	6.480
0.552	22.400	0.522	8.930	0.528	9.280
