0.00	0.0	0.00	0.0
0.05	3.3	0.06	3.7
0.10	9.7	0.12	13.0
0.13	14.0	0.16	18.5
0.18	18.5	0.21	23.4
0.22	20.3	0.28	26.5
0.25	21.1	0.31	27.1
0.28	21.6	0.32	27.4
0.32	22.3	0.35	27.8
0.38	23.1	0.41	28.8
0.42	23.6	0.47	29.6
0.45	24.0	0.51	30.2
0.49	24.5	0.56	31.0
0.54	25.2	0.66	32.4
0.69	26.9	0.82	34.5
0.82	28.3	0.98	36.4
1.00	30.0	1.20	38.9
1.18	31.5	1.20	38.9

